BatchID,Accuracy,Precision,Recall,CumulativeAccuracy
66,0.8,0.8999999999999999,0.8,0.6496124031007752
67,0.875,0.78125,0.875,0.6523736600306279
68,0.75,0.8541666666666666,0.75,0.653555219364599
69,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.6567164179104478
70,0.5,0.5,0.5,0.6544117647058824
71,0.9,0.925,0.9000000000000001,0.6579710144927536
72,0.8571428571428571,1.0,0.857142857142857,0.6599713055954088
73,0.875,0.9,0.875,0.6624113475177305
74,0.8,0.7,0.8,0.6633802816901408
75,0.75,0.75,0.75,0.6648199445983379
76,0.56,0.6266666666666667,0.56,0.6613119143239625
77,0.8461538461538461,0.9230769230769231,0.8461538461538463,0.6644736842105263
78,0.5384615384615384,0.5164835164835165,0.5384615384615385,0.6623544631306598
79,0.6666666666666666,1.0,0.6666666666666666,0.6624040920716112
80,0.8181818181818182,0.8666666666666667,0.8181818181818181,0.6645649432534678
81,0.5,0.5,0.5,0.6629213483146067
82,0.625,0.6666666666666667,0.625,0.6625463535228677
83,0.5,0.5333333333333333,0.5,0.6605616605616605
84,0.5454545454545454,0.4666666666666667,0.5454545454545454,0.6590361445783133
85,1.0,1.0,1.0,0.6630952380952381
86,0.7777777777777778,0.7444444444444445,0.7777777777777778,0.6643109540636042
87,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6643356643356644
88,0.875,0.9166666666666666,0.875,0.6662817551963048
89,0.5,0.5055555555555555,0.49999999999999994,0.664009111617312
90,0.7647058823529411,0.8117647058823529,0.7647058823529411,0.6659217877094972
91,1.0,1.0,1.0,0.6699779249448123
92,0.75,0.625,0.75,0.6703296703296703
93,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6702937976060935
94,0.6666666666666666,0.5222222222222223,0.6666666666666667,0.6702586206896551
95,0.6,0.6,0.6000000000000001,0.6695095948827292
96,0.5,0.75,0.5,0.6680761099365751
97,0.7272727272727273,0.7575757575757576,0.7272727272727273,0.6687565308254964
98,0.8,0.7533333333333334,0.8,0.6701137538779731
99,0.6363636363636364,0.7803030303030303,0.6363636363636364,0.6697341513292433
100,0.9090909090909091,1.0,0.9090909090909091,0.6723963599595552
101,0.5,0.6500000000000001,0.5,0.6706706706706707
102,0.75,0.8125,0.75,0.6713008937437934
103,1.0,1.0,1.0,0.6722772277227723
104,0.75,0.8125,0.75,0.6728880157170923
105,0.7272727272727273,0.7878787878787878,0.7272727272727273,0.673469387755102
106,0.8888888888888888,0.9166666666666666,0.888888888888889,0.6753371868978806
107,0.7777777777777778,0.7962962962962964,0.7777777777777779,0.6762177650429799
108,0.6363636363636364,0.696969696969697,0.6363636363636364,0.6758034026465028
109,0.8333333333333334,0.9166666666666665,0.8333333333333333,0.677570093457944
110,0.6666666666666666,0.6133333333333334,0.6666666666666667,0.6774193548387096
111,0.7,0.75,0.7000000000000001,0.6776255707762557
112,0.75,0.7916666666666666,0.75,0.6781504986400725
113,0.5714285714285714,0.6666666666666665,0.5714285714285714,0.6774774774774774
114,0.6666666666666666,0.7777777777777777,0.6666666666666667,0.677390527256479
115,0.4444444444444444,0.46296296296296297,0.4444444444444444,0.675531914893617
116,0.6,0.7333333333333334,0.6000000000000001,0.6748681898066784
117,0.625,0.875,0.625,0.6745200698080279
118,0.42857142857142855,0.3571428571428571,0.42857142857142855,0.6730268863833477
119,0.625,0.6041666666666666,0.625,0.6726959517657192
120,0.8,0.8583333333333334,0.8,0.6737830913748932
121,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.6728813559322034
122,0.6153846153846154,0.676923076923077,0.6153846153846154,0.672254819782062
123,0.6363636363636364,0.6212121212121211,0.6363636363636364,0.6719269102990033
124,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6702479338842975
125,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.6685808039376538
126,0.5833333333333334,0.6458333333333334,0.5833333333333334,0.6677497969130788
127,0.7857142857142857,0.8666666666666667,0.7857142857142857,0.6690763052208836
128,0.7,0.7166666666666668,0.7,0.6693227091633466
129,0.6666666666666666,0.7407407407407407,0.6666666666666667,0.6693037974683544
